OTU ID	DC.c2.557.c3	MC.c2.557.c2	MC.h1.650.c2	PC.c2.557.c1	PC.h2.295.c1	DC.h1.802.c3	PC.h1.802.c1	PC.h1.230.c1	PF.h2.830.f1	PF.h1.493.f1	DF.h2.830.f2	PF.c2.645.f1	MC.c2.645.c2	DF.c1.088.f2	DF.h3.409.f2	MC.h1.802.c2	PF.c3.858.f1	DF.h1.650.f2	PF.h1.230.f1	PC.c2.847.c1	PC.c1.088.c1	DC.c1.244.c3	DF.h1.230.f2	MC.c1.088.c2	PC.c1.244.c1	MC.h2.841.c2	DC.h2.841.c3	PF.c2.847.f1	MC.h2.830.c2	MC.c3.858.c2	PF.c2.557.f1	DC.h2.830.c3	DC.h2.295.c3	MC.h2.295.c2	MC.h3.409.c2	DF.c2.557.f2	PF.c4.120.f1	PF.h2.841.f1	DF.h2.841.f2	MC.c2.847.c2	PC.c2.645.c1	DF.c1.244.f2	MC.c4.120.c2	PC.h2.841.c1	MC.h1.230.c2	DC.h1.230.c3	PC.c3.858.c1	MC.c1.244.c2	DC.c2.645.c3	DC.c3.857.c3	PC.c3.857.c1	DC.c1.088.c3	PC.c4.120.c1	DC.c4.120.c3	DF.c4.120.f2	PC.h2.830.c1	DC.h3.409.c3	PF.h3.409.f1	DF.c3.857.f2
206494	2	5	3	1	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4479944	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
541135	0	0	0	0	0	0	0	0	0	2	1	2	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
643311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
313213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
130468	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
309877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4294607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
258395	0	0	4	0	0	1	0	0	1	1	0	0	0	28	0	0	0	0	0	0	0	37	3	2	5	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
